timestamp,epoch,race_id,venue,horse_number,horse_name,win_odds,place_odds,time_to_post
2026-09-05T17:25:18,1788600318.796,2026-09-06_Race2,ST,10,COMET RADIANCE,8.9,3.6,
2026-09-05T17:25:18,1788600318.796,2026-09-06_Race2,ST,11,LET'S HAVE FUN,26.0,6.2,
2026-09-05T17:25:20,1788600320.842,2026-09-06_Race3,ST,1,KA YING RISING,1.0,1.0,
2026-09-05T17:25:20,1788600320.842,2026-09-06_Race3,ST,2,COPARTNER PRANCE,427.0,19.0,
2026-09-05T17:25:20,1788600320.842,2026-09-06_Race3,ST,3,PATCH OF STARS,204.0,6.2,
2026-09-05T17:25:20,1788600320.842,2026-09-06_Race3,ST,4,TOMODACHI KOKOROE,490.0,25.0,
2026-09-05T17:25:20,1788600320.842,2026-09-06_Race3,ST,5,LUCKY WITH YOU,311.0,13.0,
2026-09-05T17:25:20,1788600320.842,2026-09-06_Race3,ST,6,MAGIC CONTROL,424.0,20.0,
2026-09-05T17:25:22,1788600322.889,2026-09-06_Race4,ST,1,AMAZING DUCK,3.9,1.9,
2026-09-05T17:25:22,1788600322.889,2026-09-06_Race4,ST,2,HAILTOTHEVICTORS,11.0,3.8,
2026-09-05T17:25:22,1788600322.889,2026-09-06_Race4,ST,3,SOARING BRONCO,16.0,4.8,
2026-09-05T17:25:22,1788600322.889,2026-09-06_Race4,ST,4,I EXCELLE,17.0,4.2,
2026-09-05T17:25:22,1788600322.889,2026-09-06_Race4,ST,5,FIGHTING MACHINE,9.8,4.4,
2026-09-05T17:25:22,1788600322.889,2026-09-06_Race4,ST,6,SPLENDID FORCE,34.0,8.9,
2026-09-05T17:25:22,1788600322.889,2026-09-06_Race4,ST,7,ALL ARE MINE,11.0,4.3,
2026-09-05T17:25:22,1788600322.889,2026-09-06_Race4,ST,8,GOLDEN FORTUNE,14.0,2.3,
2026-09-05T17:25:22,1788600322.889,2026-09-06_Race4,ST,9,SETANTA,13.0,4.4,
2026-09-05T17:25:22,1788600322.889,2026-09-06_Race4,ST,10,GENERAL SMART,4.7,1.8,
2026-09-05T17:25:22,1788600322.889,2026-09-06_Race4,ST,11,MAZING GRACE,14.0,4.0,
2026-09-05T17:25:22,1788600322.889,2026-09-06_Race4,ST,12,GO GO GO,25.0,7.1,
2026-09-05T17:25:22,1788600322.889,2026-09-06_Race4,ST,13,HAPPY BUDDIES,38.0,8.9,
2026-09-05T17:25:22,1788600322.889,2026-09-06_Race4,ST,14,PERFECT PAIRING,20.0,5.7,
2026-09-05T17:25:29,1788600329.736,2026-09-06_Race3,ST,1,KA YING RISING,1.0,1.0,
2026-09-05T17:25:29,1788600329.736,2026-09-06_Race3,ST,2,COPARTNER PRANCE,427.0,19.0,
2026-09-05T17:25:29,1788600329.736,2026-09-06_Race3,ST,3,PATCH OF STARS,204.0,6.2,
