date,bankroll,pnl,peak_bankroll,drawdown
2022-10-12,-58110.0,-68110.0,9950.0,-6.840201005025126
2022-10-12,-58160.0,-68160.0,9950.0,-6.845226130653266
2022-10-12,-58200.0,-68200.0,9950.0,-6.849246231155779
2022-10-16,-58220.0,-68220.0,9950.0,-6.851256281407035
2022-10-16,-58300.0,-68300.0,9950.0,-6.85929648241206
2022-10-16,-58350.0,-68350.0,9950.0,-6.864321608040201
2022-10-16,-58380.0,-68380.0,9950.0,-6.8673366834170855
2022-10-16,-58440.0,-68440.0,9950.0,-6.873366834170854
2022-10-16,-58500.0,-68500.0,9950.0,-6.8793969849246235
2022-10-16,-58580.0,-68580.0,9950.0,-6.887437185929648
2022-10-16,-58650.0,-68650.0,9950.0,-6.894472361809045
2022-10-16,-58720.0,-68720.0,9950.0,-6.901507537688442
2022-10-16,-58770.0,-68770.0,9950.0,-6.906532663316583
2022-10-19,-58800.0,-68800.0,9950.0,-6.909547738693467
2022-10-19,-58860.0,-68860.0,9950.0,-6.915577889447237
2022-10-19,-58910.0,-68910.0,9950.0,-6.920603015075377
2022-10-19,-58950.0,-68950.0,9950.0,-6.924623115577889
2022-10-19,-59000.0,-69000.0,9950.0,-6.9296482412060305
2022-10-19,-59050.0,-69050.0,9950.0,-6.934673366834171
2022-10-19,-59100.0,-69100.0,9950.0,-6.939698492462312
2022-10-19,-59150.0,-69150.0,9950.0,-6.944723618090452
2022-10-23,-59210.0,-69210.0,9950.0,-6.950753768844221
2022-10-23,-59270.0,-69270.0,9950.0,-6.95678391959799
2022-10-23,-59330.0,-69330.0,9950.0,-6.962814070351759
2022-10-23,-59400.0,-69400.0,9950.0,-6.969849246231155
